user_id,avg_minutes,avg_sessions,total_failures,last_active_days,plan_id,plan_name,price,price_band,usage_drop,will_churn_14d,days_since_last_activity,as_of_date
U000001,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000002,92.89,5.5,0.0,5,PLN_BASIC,basic,299.0,,-52.89333333333333,0,0,2026-01-30
U000003,23.392500000000002,1.75,0.0,5,PLN_STD,standard,499.0,,-31.19,1,0,2026-01-30
U000004,185.3225,10.25,0.0,5,PLN_PREM,premium,799.0,,-61.51000000000002,0,0,2026-01-30
U000005,135.6275,8.75,0.0,5,PLN_BASIC,basic,299.0,,-51.85000000000001,0,0,2026-01-30
U000006,51.905,3.0,0.0,5,PLN_BASIC,basic,299.0,,-23.993333333333332,0,0,2026-01-30
U000007,50.3775,4.0,0.0,5,PLN_BASIC,basic,299.0,,-42.05000000000001,0,0,2026-01-30
U000008,54.2875,3.5,0.0,5,PLN_BASIC,basic,299.0,,-10.31666666666667,0,0,2026-01-30
U000009,179.44,10.0,0.0,5,PLN_PREM,premium,799.0,,-118.86666666666667,0,0,2026-01-30
U000010,39.474999999999994,3.0,0.0,5,PLN_STD,standard,499.0,,-31.633333333333326,0,0,2026-01-30
U000011,211.9425,9.0,0.0,5,PLN_PREM,premium,799.0,,-125.75,0,0,2026-01-30
U000012,42.3575,3.0,0.0,5,PLN_BASIC,basic,299.0,,-56.47666666666667,1,0,2026-01-30
U000013,68.2425,4.25,0.0,5,PLN_BASIC,basic,299.0,,-5.323333333333338,0,0,2026-01-30
U000014,13.9225,1.25,0.0,4,PLN_BASIC,basic,299.0,,-18.563333333333333,1,0,2026-01-30
U000015,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000016,137.7875,9.5,0.0,5,PLN_STD,standard,499.0,,3.8966666666666754,0,0,2026-01-30
U000017,99.89999999999999,5.5,0.0,5,PLN_BASIC,basic,299.0,,-110.91999999999999,0,0,2026-01-30
U000018,44.12,4.5,0.0,5,PLN_BASIC,basic,299.0,,-41.56,0,0,2026-01-30
U000019,130.6,10.25,0.0,5,PLN_PREM,premium,799.0,,-72.16000000000001,0,0,2026-01-30
U000020,93.985,7.0,0.0,5,PLN_STD,standard,499.0,,80.12666666666665,0,0,2026-01-30
U000021,156.07,8.75,0.0,5,PLN_STD,standard,499.0,,-208.09333333333333,0,0,2026-01-30
U000022,195.93,10.0,0.0,5,PLN_PREM,premium,799.0,,-208.9733333333333,0,0,2026-01-30
U000023,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000024,104.255,6.75,0.0,4,PLN_STD,standard,499.0,,-58.12666666666668,0,0,2026-01-30
U000025,143.2975,10.0,0.0,5,PLN_STD,standard,499.0,,-117.25000000000001,0,0,2026-01-30
U000026,0.0,0.0,0.0,5,PLN_PREM,premium,799.0,,0.0,1,0,2026-01-30
U000027,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000028,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,0,0,2026-01-30
U000029,123.57749999999999,9.75,0.0,5,PLN_STD,standard,499.0,,25.03,0,0,2026-01-30
U000030,137.33249999999998,7.0,0.0,5,PLN_PREM,premium,799.0,,31.076666666666654,0,0,2026-01-30
U000031,60.065,3.75,0.0,5,PLN_BASIC,basic,299.0,,-28.939999999999998,0,0,2026-01-30
U000032,0.0,0.0,0.0,5,PLN_STD,standard,499.0,,0.0,1,0,2026-01-30
U000033,0.0,0.0,0.0,5,PLN_PREM,premium,799.0,,0.0,0,0,2026-01-30
U000034,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000035,79.8675,5.5,0.0,5,PLN_STD,standard,499.0,,-106.49000000000001,0,0,2026-01-30
U000036,0.0,0.0,0.0,5,PLN_STD,standard,499.0,,0.0,0,0,2026-01-30
U000037,171.9,12.75,0.0,5,PLN_STD,standard,499.0,,50.75999999999999,0,0,2026-01-30
U000038,27.92,2.5,0.0,5,PLN_BASIC,basic,299.0,,-37.22666666666667,0,0,2026-01-30
U000039,69.71000000000001,8.0,0.0,5,PLN_BASIC,basic,299.0,,66.21333333333334,0,0,2026-01-30
U000040,105.4375,5.25,0.0,5,PLN_STD,standard,499.0,,-81.13000000000001,0,0,2026-01-30
U000041,90.09,7.0,0.0,5,PLN_BASIC,basic,299.0,,-22.426666666666677,0,0,2026-01-30
U000042,0.0,0.0,0.0,5,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000043,78.47,4.5,0.0,5,PLN_BASIC,basic,299.0,,-48.69333333333333,0,0,2026-01-30
U000044,0.0,0.0,0.0,4,PLN_BASIC,basic,299.0,,0.0,1,0,2026-01-30
U000045,139.1625,8.25,0.0,5,PLN_STD,standard,499.0,,-109.65666666666668,0,0,2026-01-30
U000046,117.08,10.0,0.0,5,PLN_STD,standard,499.0,,-132.78666666666666,0,0,2026-01-30
U000047,107.8475,7.5,0.0,5,PLN_STD,standard,499.0,,-21.756666666666675,0,0,2026-01-30
U000048,25.955,2.25,0.0,5,PLN_STD,standard,499.0,,-34.60666666666666,1,0,2026-01-30
